STATE,TYPE,NWSC,NCO,RRK,RPP,FDP,EMP,FP,PICES,PSIESC,SD,SL,SSV,PF,SCORE,RANK
TAMIL NADU,Government,18,3,10,12,3,10,1,1,1,31,24,9,8,10.63,314
KARNATAKA,Private,7,10,5,9,6,10,2,0,1,35,11,5,1,10.62,315
UTTAR PRADESH,Private,8,9,6,9,4,8,1,1,3,34,14,1,1,10.62,316
MAHARASHTRA,Private,16,6,5,4,3,8,1,1,6,41,29,8,9,10.62,317
KARNATAKA,Government,11,3,12,8,3,8,1,1,5,32,28,4,3,10.62,318
MAHARASHTRA,Government,20,6,7,4,8,3,1,0,6,44,7,4,10,10.62,319
MAHARASHTRA,Private,8,12,3,11,5,11,2,0,1,25,10,4,10,10.6,320
ANDHRA PRADESH,Private,13,7,6,5,8,12,0,0,5,36,25,6,9,10.6,321
ANDHRA PRADESH,Government,11,9,5,6,1,9,0,1,6,31,20,2,7,10.59,322
MAHARASHTRA,Private,9,11,10,14,5,6,1,1,3,42,21,7,5,10.59,323
MAHARASHTRA,Government,17,5,6,12,2,11,2,0,8,45,16,4,5,10.59,324
MADHYA PRADESH,Government,8,9,13,6,1,8,2,0,7,49,32,10,8,10.57,325
KERALA,Government,8,10,10,7,2,4,0,0,8,19,8,8,4,10.57,326
DADRA AND NAGAR HAVELI,Private,16,8,13,8,1,14,1,1,8,48,40,0,4,10.57,327
TAMIL NADU,Private,12,7,14,7,3,11,1,0,8,45,45,1,3,10.56,328
ANDHRA PRADESH,Government,15,11,5,9,7,8,1,0,3,38,4,9,3,10.56,329
RAJASTHAN,Government,20,5,8,9,7,10,1,1,7,40,3,6,8,10.56,330
TAMIL NADU,Private,10,13,13,5,3,3,0,1,2,11,9,0,8,10.54,331
RAJASTHAN,Private,9,14,9,12,3,14,0,1,5,20,20,0,7,10.54,332
TAMIL NADU,Government,11,13,6,9,3,11,2,1,2,37,29,0,7,10.52,333
UTTAR PRADESH,Government,8,11,7,14,5,9,1,0,5,46,4,10,6,10.52,334
GOA,Government,14,10,9,8,7,6,1,1,5,50,45,10,2,10.52,335
TAMIL NADU,Government,16,8,7,14,7,12,2,1,6,14,14,5,2,10.52,336
ANDHRA PRADESH,Government,9,13,13,7,6,11,2,0,5,29,24,8,5,10.52,337
MAHARASHTRA,Private,9,9,13,9,7,5,2,0,2,49,32,6,9,10.52,338
MAHARASHTRA,Private,8,10,4,13,3,14,1,1,8,49,31,5,1,10.51,339
KERALA,Government,10,9,9,9,2,11,0,1,1,34,15,4,5,10.51,340
GUJARAT,Private,10,9,13,6,5,10,1,1,8,43,10,6,9,10.51,341
KARNATAKA,Government,17,6,13,10,1,8,2,1,2,40,15,6,10,10.51,342
UTTAR PRADESH,Government,18,10,10,9,5,5,0,1,7,4,4,9,9,10.51,343
ANDHRA PRADESH,Government,15,16,7,5,4,11,2,0,6,46,39,0,0,10.49,344
KERALA,Government,15,11,9,9,5,11,1,0,2,47,16,8,7,10.49,345
JHARKHAND,Government,13,5,12,9,7,14,1,1,4,43,25,7,0,10.49,346
MAHARASHTRA,Government,11,9,4,15,2,15,0,0,4,25,13,9,4,10.49,347
TAMIL NADU,Government,12,7,9,12,5,10,1,0,5,49,23,9,9,10.49,348
TELANGANA,Government,11,4,8,8,3,8,1,1,5,35,28,0,10,10.49,349
UTTAR PRADESH,Private,12,7,6,9,8,9,0,1,3,24,16,7,6,10.48,350
HARYANA,Government,13,6,4,4,6,8,0,1,7,48,20,5,7,10.48,351
TELANGANA,Government,16,8,12,10,7,11,0,0,2,48,25,10,1,10.48,352
ANDHRA PRADESH,Government,16,9,10,11,5,12,1,1,1,8,8,9,2,10.48,353
GUJARAT,Government,11,6,13,11,2,11,1,1,8,50,18,0,5,10.46,354
KARNATAKA,Government,19,11,15,10,4,13,0,0,3,23,23,10,1,10.46,355
PUNJAB,Government,14,9,13,14,7,16,2,0,8,40,12,6,6,10.46,356
TAMIL NADU,Government,19,11,13,13,3,5,0,0,7,45,13,10,10,10.46,357
TAMIL NADU,Private,14,9,9,5,8,9,1,0,3,44,20,6,5,10.44,358
ASSAM,Government,17,13,8,13,6,4,1,0,3,44,39,0,0,10.44,359
UTTAR PRADESH,Government,12,11,9,10,3,12,1,1,1,46,0,10,7,10.44,360
MAHARASHTRA,Government,14,12,8,12,8,15,2,0,7,47,16,10,3,10.44,361
MAHARASHTRA,Government,13,10,7,7,3,13,0,0,4,50,27,1,0,10.44,362
ANDHRA PRADESH,Private,14,2,12,10,8,4,1,1,2,26,20,4,8,10.43,363
TAMIL NADU,Government,15,5,10,6,6,14,1,0,5,29,16,3,5,10.41,364
KERALA,Government,22,7,4,8,5,14,2,1,4,29,18,0,10,10.41,365
MAHARASHTRA,Government,15,5,9,7,6,15,2,1,7,36,18,5,6,10.41,366
ANDHRA PRADESH,Private,15,8,9,13,5,9,2,1,2,36,21,1,4,10.41,367
PUNJAB,Private,14,6,11,9,4,3,1,0,7,49,42,5,4,10.4,368
ANDHRA PRADESH,Private,13,9,6,8,3,11,0,0,2,23,1,9,7,10.4,369
GUJARAT,Government,15,2,10,3,3,7,1,1,1,48,8,0,3,10.4,370
ANDHRA PRADESH,Government,21,4,12,9,5,14,1,0,1,25,22,3,6,10.38,371
TELANGANA,Government,19,10,9,11,2,8,0,1,8,36,21,3,5,10.38,372
TAMIL NADU,Private,16,13,7,11,5,9,0,1,1,18,17,10,1,10.38,373
ANDHRA PRADESH,Government,20,12,3,10,2,8,2,0,1,38,38,0,6,10.38,374
WEST BENGAL,Government,13,6,3,8,1,9,1,1,7,37,13,9,6,10.38,375
UTTARAKHAND,Private,15,6,15,13,2,13,1,0,4,44,40,1,4,10.38,376
MAHARASHTRA,Private,18,9,4,8,4,4,1,1,7,32,28,2,3,10.38,377
ANDHRA PRADESH,Government,10,8,7,15,2,8,1,0,7,42,31,7,4,10.38,378
ARUNACHAL PRADESH,Private,12,8,10,9,1,8,2,1,1,40,36,1,5,10.38,379
MAHARASHTRA,Government,10,11,11,7,5,7,1,0,2,28,15,6,9,10.38,380
ODISHA,Private,14,12,9,11,3,3,0,1,3,31,22,5,9,10.38,381
MADHYA PRADESH,Government,12,4,2,6,4,4,1,0,4,33,30,5,1,10.37,382
TELANGANA,Government,11,10,5,12,8,10,1,1,8,25,15,9,10,10.37,383
UTTAR PRADESH,Government,16,6,6,12,1,14,0,1,1,22,18,7,9,10.35,384
MAHARASHTRA,Private,13,12,14,5,1,11,1,0,4,27,5,7,7,10.35,385
UTTAR PRADESH,Private,12,4,10,10,5,10,1,0,3,45,29,0,4,10.35,386
UTTAR PRADESH,Private,12,8,13,9,8,4,0,1,7,39,11,6,0,10.35,387
JAMMU AND KASHMIR,Government,13,7,9,13,6,6,1,1,2,47,14,2,4,10.35,388
TAMIL NADU,Government,14,7,11,10,5,14,1,0,7,10,8,6,7,10.35,389
TAMIL NADU,Government,20,7,11,9,8,8,0,1,1,44,18,3,7,10.35,390
MAHARASHTRA,Private,20,8,4,16,6,2,1,0,1,34,20,0,2,10.35,391
MAHARASHTRA,Government,15,9,2,8,8,9,1,1,6,44,44,2,9,10.35,392
MAHARASHTRA,Government,14,11,14,10,2,9,1,1,3,15,14,9,7,10.35,393
KERALA,Government,13,11,9,13,6,12,1,1,1,36,18,3,8,10.33,394
KARNATAKA,Government,10,9,7,10,3,4,1,1,5,7,2,4,8,10.33,395
BIHAR,Government,9,6,12,12,2,6,2,1,8,24,16,0,3,10.33,396
PUNJAB,Government,20,13,11,8,5,8,2,1,6,50,39,10,10,10.33,397
KERALA,Government,15,12,8,7,6,10,0,1,6,46,35,3,3,10.33,398
MAHARASHTRA,Government,11,13,7,3,6,12,1,1,6,35,17,6,7,10.32,399
MAHARASHTRA,Private,11,2,3,7,8,7,1,0,3,40,19,2,6,10.32,400
MAHARASHTRA,Government,15,7,11,7,7,10,1,1,6,42,21,7,3,10.32,401
KERALA,Government,9,10,13,8,3,10,1,1,1,22,21,5,2,10.32,402
UTTAR PRADESH,Government,14,9,9,5,8,6,1,1,7,36,12,7,2,10.32,403
ASSAM,Government,8,9,14,9,7,6,1,1,8,45,26,7,4,10.32,404
UTTAR PRADESH,Private,22,11,11,7,8,9,2,0,7,25,9,6,5,10.3,405
GUJARAT,Government,14,9,8,8,5,12,1,1,4,40,34,1,3,10.29,406
TAMIL NADU,Government,17,12,5,8,3,8,1,0,7,42,15,9,0,10.29,407
MAHARASHTRA,Private,16,10,12,5,6,14,1,1,5,48,30,5,9,10.29,408
HIMACHAL PRADESH,Private,14,5,9,10,8,11,1,0,6,38,23,6,2,10.29,409
TAMIL NADU,Government,3,3,8,10,6,11,1,0,3,31,14,2,9,10.29,410
GUJARAT,Government,13,11,9,13,5,7,0,0,7,16,5,2,3,10.29,411
MAHARASHTRA,Private,17,10,15,7,8,4,2,0,1,19,17,7,1,10.29,412
MAHARASHTRA,Government,19,11,2,11,4,10,1,0,6,35,21,6,10,10.27,413
MAHARASHTRA,Private,6,15,6,12,8,7,0,0,3,45,13,4,10,10.27,414
UTTAR PRADESH,Government,11,8,6,5,4,8,2,1,2,48,7,2,6,10.27,415
TAMIL NADU,Government,13,5,16,2,3,7,1,1,6,33,25,5,2,10.27,416
UTTAR PRADESH,Government,11,14,8,8,3,11,1,1,4,32,10,3,7,10.25,417
UTTAR PRADESH,Private,20,2,14,4,5,7,2,1,1,38,15,2,4,10.25,418
GUJARAT,Government,10,12,11,13,1,8,1,1,7,39,14,6,1,10.25,419
UTTAR PRADESH,Government,16,13,11,10,8,7,1,0,5,24,3,3,7,10.25,420
GUJARAT,Government,12,9,10,6,4,5,0,1,3,48,23,8,10,10.24,421
TAMIL NADU,Private,10,5,6,10,4,13,1,0,8,6,4,9,10,10.24,422
ANDHRA PRADESH,Government,9,14,11,12,4,11,0,0,7,34,30,2,9,10.24,423
GUJARAT,Government,13,3,11,9,1,15,1,0,5,31,8,1,8,10.24,424
TAMIL NADU,Government,15,7,7,9,3,12,1,0,1,44,10,5,5,10.24,425
PUNJAB,Private,15,7,13,13,2,11,0,1,3,50,25,9,8,10.24,426
TAMIL NADU,Private,10,8,9,3,5,9,1,1,4,46,6,9,5,10.22,427
ANDHRA PRADESH,Government,11,11,14,6,1,11,1,1,4,36,33,3,10,10.22,428
UTTAR PRADESH,Private,8,9,14,14,6,7,1,1,2,10,1,8,8,10.22,429
ANDHRA PRADESH,Government,14,13,7,6,3,8,1,0,8,16,10,3,3,10.21,430
TAMIL NADU,Private,11,7,10,12,2,6,1,0,3,42,32,4,5,10.21,431
MADHYA PRADESH,Private,12,13,10,10,6,11,0,0,5,22,13,3,5,10.19,432
TAMIL NADU,Government,7,9,3,9,4,6,0,1,1,12,7,3,8,10.19,433
ANDHRA PRADESH,Private,14,11,5,11,1,10,0,1,6,36,33,4,4,10.19,434
WEST BENGAL,Private,12,12,5,10,4,8,1,0,4,32,22,1,6,10.19,435
TAMIL NADU,Private,18,8,4,8,2,8,1,0,8,37,29,9,2,10.19,436
TAMIL NADU,Private,13,9,10,8,7,11,1,1,7,41,33,1,5,10.17,437
TELANGANA,Government,12,13,6,6,4,9,2,0,4,43,26,6,0,10.17,438
KERALA,Government,16,2,9,3,6,16,1,1,4,22,16,0,8,10.16,439
JHARKHAND,Private,13,12,13,8,4,10,1,1,7,38,16,6,5,10.16,440
KARNATAKA,Government,16,5,6,10,3,12,1,0,7,38,34,6,5,10.16,441
GUJARAT,Government,16,5,15,4,5,4,1,1,6,28,10,1,10,10.16,442
WEST BENGAL,Government,14,8,11,12,2,4,2,0,7,39,19,1,3,10.16,443
TAMIL NADU,Private,10,8,10,10,5,14,2,1,8,25,0,6,4,10.16,444
GUJARAT,Private,9,9,8,8,5,10,1,1,7,10,10,9,7,10.14,445
MAHARASHTRA,Government,15,5,8,6,4,7,2,0,4,30,26,10,5,10.14,446
MAHARASHTRA,Government,18,10,9,11,4,10,1,1,2,35,34,2,5,10.14,447
KARNATAKA,Government,17,11,12,4,4,12,1,1,1,36,32,2,1,10.13,448
MAHARASHTRA,Government,16,11,12,6,7,10,2,1,3,24,3,8,9,10.13,449
UTTAR PRADESH,Private,8,3,13,12,8,10,1,0,8,25,19,0,2,10.13,450
JHARKHAND,Government,21,4,14,12,2,8,1,0,5,7,2,3,8,10.13,451
TAMIL NADU,Government,11,12,9,14,3,9,0,1,8,38,3,2,3,10.11,452
UTTAR PRADESH,Government,11,11,16,12,6,9,0,0,3,35,23,5,10,10.11,453
KERALA,Private,24,14,10,13,2,3,1,0,4,35,17,3,7,10.11,454
UTTAR PRADESH,Government,19,13,7,4,5,10,1,0,1,7,6,6,5,10.11,455
RAJASTHAN,Private,10,11,9,9,2,11,1,0,1,45,19,5,4,10.11,456
TELANGANA,Private,16,4,8,14,1,14,1,0,8,37,22,10,9,10.1,457
UTTAR PRADESH,Government,11,8,11,10,2,9,2,1,8,24,17,3,1,10.1,458
MAHARASHTRA,Private,9,10,14,4,5,8,2,1,8,39,10,4,5,10.1,459
MADHYA PRADESH,Private,13,7,8,13,3,3,1,1,4,35,27,9,0,10.1,460
TAMIL NADU,Private,12,10,7,15,4,6,1,0,3,32,19,5,8,10.1,461
ANDHRA PRADESH,Government,4,12,7,5,7,8,1,0,1,13,1,7,9,10.1,462
UTTAR PRADESH,Government,8,16,5,8,8,11,2,0,3,41,30,10,10,10.08,463
KERALA,Government,16,6,9,2,8,13,2,0,6,27,15,10,3,10.08,464
MAHARASHTRA,Private,20,8,9,5,5,7,1,0,5,46,17,2,2,10.08,465
MAHARASHTRA,Private,12,10,7,3,6,7,0,1,4,36,18,3,7,10.08,466
GUJARAT,Private,9,10,13,9,6,9,1,0,4,46,14,7,4,10.06,467
MAHARASHTRA,Private,15,8,14,5,1,9,0,1,8,38,19,8,4,10.05,468
KARNATAKA,Government,19,3,6,4,7,12,1,0,7,48,15,8,5,10.05,469
UTTAR PRADESH,Government,8,8,9,8,3,9,0,0,2,24,23,5,6,10.05,470
ASSAM,Government,12,10,4,13,3,4,1,1,2,38,38,1,9,10.05,471
WEST BENGAL,Private,6,10,9,13,6,4,1,0,5,30,14,7,8,10.03,472
UTTAR PRADESH,Private,7,4,9,8,1,8,0,0,5,10,6,10,10,10.03,473
UTTAR PRADESH,Government,8,9,12,10,1,9,2,1,1,29,7,3,7,10.03,474
TAMIL NADU,Private,8,13,10,6,7,6,1,1,4,30,24,3,1,10.03,475
UTTAR PRADESH,Private,5,7,10,6,1,13,0,0,2,36,36,6,7,10.03,476
MAHARASHTRA,Government,15,10,7,10,5,8,0,0,1,6,3,1,9,10.02,477
KERALA,Private,14,4,11,3,8,12,0,0,1,30,19,1,10,10.02,478
UTTAR PRADESH,Private,18,12,4,2,8,9,1,1,3,30,15,7,8,10.02,479
MAHARASHTRA,Government,16,3,5,11,6,10,1,1,5,47,30,2,4,10.02,480
UTTAR PRADESH,Government,13,6,7,5,2,9,0,0,2,19,19,0,9,10.02,481
WEST BENGAL,Government,12,14,9,13,7,5,1,1,5,30,21,0,4,10.0,482
UTTAR PRADESH,Private,16,13,7,10,5,16,1,0,6,14,9,3,4,10.0,483
ANDHRA PRADESH,Government,10,6,8,10,5,12,2,0,6,33,9,10,7,10.0,484
WEST BENGAL,Government,15,9,15,11,2,9,1,0,5,50,25,8,10,10.0,485
BIHAR,Government,12,5,5,8,3,10,0,0,1,49,9,5,5,10.0,486
UTTARAKHAND,Government,13,2,6,10,5,10,1,0,6,48,18,7,2,10.0,487
MAHARASHTRA,Government,19,11,7,9,6,11,0,1,1,29,6,5,8,10.0,488
MAHARASHTRA,Government,11,5,3,8,7,4,2,1,5,34,6,10,10,9.98,489
TAMIL NADU,Private,12,8,8,11,1,4,2,0,5,45,5,6,8,9.98,490
GUJARAT,Government,8,14,4,6,5,7,1,1,8,28,4,7,9,9.98,491
GUJARAT,Government,18,8,5,8,6,10,1,1,1,12,8,0,6,9.98,492
UTTAR PRADESH,Private,13,8,8,11,7,9,0,0,2,40,33,1,5,9.98,493
UTTAR PRADESH,Government,12,6,12,10,8,4,1,0,6,17,4,8,1,9.98,494
MAHARASHTRA,Private,22,2,8,3,1,11,2,1,4,37,17,6,2,9.95,495
KERALA,Government,10,6,10,5,3,11,1,1,7,18,15,7,8,9.95,496
MAHARASHTRA,Private,8,11,4,9,7,8,1,0,1,39,38,2,9,9.95,497
UTTAR PRADESH,Private,16,8,5,4,8,8,2,1,7,42,22,4,8,9.95,498
JHARKHAND,Government,10,13,10,12,4,10,0,1,2,13,13,7,9,9.95,499
KARNATAKA,Government,15,6,9,12,7,16,1,0,6,21,17,3,2,9.95,500
TAMIL NADU,Government,15,10,9,15,3,7,1,0,4,19,0,8,4,9.95,501
ODISHA,Private,5,9,3,7,1,10,0,0,6,16,12,2,10,9.94,502
UTTAR PRADESH,Government,15,14,6,10,7,10,1,0,1,35,14,6,1,9.94,503
KERALA,Government,12,14,4,9,4,10,1,0,2,26,23,0,9,9.94,504
TAMIL NADU,Government,10,10,16,3,6,6,1,1,7,32,17,8,7,9.92,505
MAHARASHTRA,Private,10,10,8,7,3,13,1,1,3,35,14,10,2,9.92,506
TAMIL NADU,Government,23,2,3,9,1,2,0,1,7,40,34,5,5,9.92,507
TAMIL NADU,Government,12,8,9,11,6,9,1,0,8,20,4,7,5,9.92,508
RAJASTHAN,Government,13,14,6,9,8,7,1,1,4,47,22,9,6,9.9,509
MAHARASHTRA,Government,12,8,6,9,5,10,2,0,3,10,8,2,3,9.9,510
TAMIL NADU,Private,10,9,8,5,3,12,1,0,6,36,5,2,1,9.9,511
JAMMU AND KASHMIR,Private,8,4,4,9,5,9,1,0,8,33,21,5,5,9.9,512
MAHARASHTRA,Government,9,4,9,9,3,9,2,1,1,47,45,1,4,9.9,513
HARYANA,Government,13,12,14,4,4,7,1,0,1,30,27,4,0,9.9,514
UTTAR PRADESH,Private,17,10,15,10,2,5,0,0,4,7,3,10,0,9.89,515
KARNATAKA,Government,12,12,8,7,8,7,1,0,8,20,12,9,10,9.87,516
ODISHA,Private,19,7,8,6,4,9,0,1,7,27,14,2,5,9.87,517
UTTAR PRADESH,Government,10,10,13,7,7,8,1,1,5,38,31,6,7,9.87,518
MAHARASHTRA,Government,19,9,7,2,2,6,1,0,7,38,14,3,4,9.87,519
WEST BENGAL,Government,17,5,3,8,8,9,0,0,5,22,5,0,8,9.87,520
PONDICHERRY,Government,18,8,7,11,2,5,0,1,7,35,15,5,6,9.87,521
TAMIL NADU,Private,15,5,6,3,8,15,2,0,1,31,17,4,10,9.86,522
UTTAR PRADESH,Private,10,10,3,15,8,2,0,1,5,11,9,8,7,9.86,523
UTTAR PRADESH,Government,18,6,11,4,6,12,2,0,1,40,19,6,1,9.86,524
WEST BENGAL,Private,11,8,9,2,7,9,1,1,6,24,22,3,1,9.84,525
UTTAR PRADESH,Government,22,13,5,4,8,15,1,1,4,21,19,0,8,9.84,526
HARYANA,Private,6,4,6,6,2,8,1,0,8,21,20,8,8,9.84,527
UTTAR PRADESH,Government,16,7,10,7,8,13,1,1,3,35,20,4,9,9.84,528
WEST BENGAL,Government,13,5,12,13,3,8,2,0,2,39,39,7,1,9.84,529
UTTAR PRADESH,Government,12,12,10,8,7,13,1,1,5,42,36,2,7,9.84,530
PONDICHERRY,Government,9,6,9,10,8,12,1,0,7,36,30,4,7,9.83,531
TELANGANA,Government,9,9,9,10,7,13,1,1,3,30,28,2,6,9.83,532
GUJARAT,Government,22,6,7,11,8,7,2,0,2,16,7,10,2,9.83,533
MAHARASHTRA,Government,10,8,4,9,5,6,1,0,4,12,3,1,10,9.83,534
WEST BENGAL,Private,9,8,13,9,5,2,1,1,3,40,11,8,9,9.81,535
RAJASTHAN,Private,9,8,9,5,8,8,2,0,6,28,15,9,8,9.81,536
TAMIL NADU,Government,12,11,11,6,7,9,1,0,4,2,2,8,7,9.81,537
MAHARASHTRA,Private,21,2,5,8,3,11,1,1,4,49,15,2,7,9.81,538
MAHARASHTRA,Government,20,15,12,5,8,13,1,1,5,49,4,2,3,9.81,539
UTTAR PRADESH,Government,15,11,9,7,8,8,1,1,4,25,17,0,5,9.81,540
KARNATAKA,Government,17,13,9,12,1,11,0,0,1,40,37,5,5,9.81,541
MAHARASHTRA,Government,16,9,8,15,7,5,1,1,5,41,30,0,2,9.79,542
UTTAR PRADESH,Government,14,10,12,7,6,6,1,1,8,5,4,9,3,9.79,543
MAHARASHTRA,Government,19,9,4,15,6,6,1,0,2,41,12,0,7,9.78,544
DELHI,Government,9,10,13,9,7,13,2,0,8,29,21,7,5,9.78,545
KARNATAKA,Private,13,15,8,12,5,9,2,0,3,42,42,4,1,9.78,546
MAHARASHTRA,Government,15,5,7,8,8,9,0,0,7,14,6,10,10,9.76,547
MAHARASHTRA,Government,14,9,4,9,6,15,2,1,5,8,3,2,2,9.76,548
ODISHA,Private,12,7,12,12,3,10,0,1,1,29,20,8,9,9.75,549
UTTAR PRADESH,Private,10,12,9,4,5,6,2,0,3,48,5,9,5,9.75,550
DAMAN & DIU,Government,6,14,14,7,1,15,1,1,5,46,19,7,6,9.75,551
PUNJAB,Government,18,5,11,6,3,12,2,1,7,31,26,2,10,9.75,552
CHHATTISGARH,Government,16,6,4,9,4,8,1,0,1,39,7,7,0,9.75,553
CHHATTISGARH,Private,12,10,9,8,6,9,2,0,3,17,13,1,2,9.75,554
MADHYA PRADESH,Private,8,8,8,13,7,5,1,0,6,22,20,6,9,9.73,555
MAHARASHTRA,Private,16,9,9,8,1,10,0,0,4,32,12,6,10,9.73,556
MAHARASHTRA,Government,12,8,10,7,6,11,0,1,2,20,16,7,5,9.73,557
UTTAR PRADESH,Government,10,13,2,9,6,11,0,0,4,35,11,8,6,9.73,558
ANDHRA PRADESH,Government,12,11,5,13,1,9,1,0,6,37,30,0,5,9.71,559
UTTAR PRADESH,Government,23,12,8,6,8,13,0,0,7,21,11,5,4,9.71,560
UTTAR PRADESH,Government,4,6,9,16,6,4,0,1,7,34,22,6,3,9.71,561
GOA,Private,12,11,7,10,7,8,2,1,2,24,2,6,5,9.71,562
TELANGANA,Government,14,10,5,8,3,5,1,0,1,45,4,5,9,9.7,563
KERALA,Private,10,4,12,14,3,5,0,1,2,45,44,0,5,9.7,564
MAHARASHTRA,Government,18,14,6,8,7,12,2,1,7,38,37,2,0,9.7,565
TAMIL NADU,Government,21,5,5,14,5,11,2,1,7,23,10,8,7,9.7,566
TAMIL NADU,Private,13,6,5,6,3,9,0,1,1,13,12,9,10,9.7,567
KERALA,Government,21,9,5,9,6,7,0,0,3,36,14,6,1,9.7,568
MAHARASHTRA,Private,9,3,14,14,1,7,1,0,5,25,8,1,1,9.68,569
GUJARAT,Private,24,5,14,6,2,8,1,1,6,2,1,5,10,9.68,570
ANDHRA PRADESH,Government,17,13,8,12,1,10,2,1,8,4,3,0,10,9.68,571
MAHARASHTRA,Government,11,13,5,9,6,11,0,0,4,31,27,0,5,9.68,572
GUJARAT,Private,10,7,2,8,4,8,2,1,1,23,13,8,5,9.68,573
MAHARASHTRA,Government,14,15,10,11,7,8,1,1,4,44,24,4,1,9.68,574
UTTAR PRADESH,Government,11,9,6,12,5,3,1,1,7,50,0,5,1,9.68,575
TAMIL NADU,Private,14,13,14,4,6,8,2,1,6,27,11,3,9,9.68,576
WEST BENGAL,Government,14,12,9,6,5,2,2,1,7,49,4,3,9,9.67,577
GUJARAT,Private,10,15,13,13,7,10,0,0,4,41,35,3,5,9.67,578
WEST BENGAL,Government,20,13,2,9,2,13,0,1,3,23,13,3,7,9.67,579
MAHARASHTRA,Private,11,11,13,12,4,6,2,1,4,41,22,0,3,9.67,580
TAMIL NADU,Government,10,11,9,13,4,14,1,0,8,29,18,1,6,9.67,581
UTTAR PRADESH,Government,12,10,13,15,1,11,1,1,1,21,6,7,8,9.67,582
TAMIL NADU,Government,17,6,6,6,7,9,1,1,4,44,20,3,4,9.65,583
TAMIL NADU,Private,16,14,10,5,3,9,1,0,6,34,24,7,3,9.65,584
TELANGANA,Government,7,9,10,7,8,8,0,0,4,29,14,5,4,9.65,585
ANDHRA PRADESH,Government,15,8,6,5,8,9,1,1,5,38,15,10,10,9.63,586
MAHARASHTRA,Government,18,10,9,9,5,7,0,0,2,44,38,8,8,9.63,587
KARNATAKA,Government,12,9,8,8,3,10,0,0,8,38,7,1,8,9.63,588
KERALA,Government,16,5,3,10,3,13,2,0,4,29,23,1,7,9.63,589
MAHARASHTRA,Private,19,9,5,11,4,8,0,0,8,47,42,5,2,9.63,590
MAHARASHTRA,Government,13,8,9,5,7,16,0,1,5,24,19,9,0,9.63,591
NEW DELHI,Government,19,11,13,13,3,6,0,1,1,18,6,9,9,9.63,592
KERALA,Government,5,8,9,10,4,12,1,1,8,15,8,1,7,9.62,593
UTTARAKHAND,Government,14,13,14,13,7,8,1,1,6,23,10,7,10,9.62,594
ANDHRA PRADESH,Private,10,4,13,5,7,11,1,0,4,37,1,8,1,9.62,595
UTTAR PRADESH,Government,17,3,14,11,7,6,2,1,6,15,9,1,4,9.62,596
ODISHA,Government,16,7,9,11,6,6,1,0,5,27,11,10,1,9.6,597
TAMIL NADU,Private,14,9,3,16,8,9,2,0,3,10,6,9,7,9.6,598
MAHARASHTRA,Government,7,9,13,7,2,10,1,0,7,24,6,8,5,9.6,599
GUJARAT,Government,12,9,7,8,6,11,1,0,8,27,27,8,2,9.6,600
KERALA,Government,15,6,16,12,6,4,0,1,2,46,30,7,7,9.6,601
MAHARASHTRA,Government,10,9,6,12,7,9,1,0,4,33,32,6,8,9.59,602
KARNATAKA,Government,19,10,7,5,3,5,2,0,4,47,30,5,4,9.59,603
KARNATAKA,Government,17,11,8,10,3,10,0,1,3,47,19,3,9,9.59,604
MADHYA PRADESH,Government,10,3,6,12,5,11,1,1,4,29,2,1,8,9.59,605
MAHARASHTRA,Government,10,14,6,13,2,6,2,1,1,8,5,6,6,9.59,606
TAMIL NADU,Government,16,9,11,12,3,5,0,1,8,0,0,9,5,9.59,607
GUJARAT,Government,8,13,6,5,7,9,1,0,5,23,3,2,4,9.57,608
UTTAR PRADESH,Private,16,13,13,8,4,7,0,1,1,37,19,0,3,9.57,609
MAHARASHTRA,Government,11,8,2,10,6,13,1,0,3,9,0,3,7,9.57,610
WEST BENGAL,Government,24,7,16,5,2,9,1,1,1,29,25,2,1,9.57,611
MAHARASHTRA,Government,14,6,8,7,5,9,0,1,3,42,25,2,2,9.56,612
TAMIL NADU,Private,7,11,7,12,8,9,1,1,6,1,1,8,1,9.56,613
MADHYA PRADESH,Government,12,14,7,12,5,5,0,0,3,32,13,9,5,9.56,614
MAHARASHTRA,Government,19,5,13,4,8,12,1,1,5,42,15,2,0,9.56,615
UTTAR PRADESH,Private,12,10,11,4,6,6,1,0,3,27,23,7,4,9.54,616
TAMIL NADU,Government,13,10,10,11,7,4,1,0,1,20,17,3,6,9.54,617
MAHARASHTRA,Private,11,4,11,10,2,11,1,1,8,34,19,3,9,9.54,618
WEST BENGAL,Government,9,13,9,13,6,6,2,1,7,28,24,5,1,9.54,619
WEST BENGAL,Government,17,10,10,12,7,11,2,1,7,36,19,8,6,9.54,620
UTTAR PRADESH,Government,17,11,4,10,4,10,1,1,1,24,17,5,2,9.54,621
KARNATAKA,Private,11,14,4,7,3,14,0,0,8,22,12,3,0,9.52,622
KARNATAKA,Private,12,8,4,3,3,10,2,0,6,47,19,3,0,9.52,623
UTTAR PRADESH,Government,17,10,10,8,3,13,1,0,6,43,29,3,8,9.52,624
MAHARASHTRA,Private,12,2,15,12,4,12,0,1,2,41,7,0,7,9.52,625
KERALA,Private,14,12,7,10,6,12,1,0,3,1,0,8,8,9.52,626
UTTAR PRADESH,Private,18,8,12,6,6,11,1,1,8,8,0,2,0,9.51,627
UTTAR PRADESH,Government,12,10,12,7,8,7,1,0,5,23,18,10,1,9.51,628
